character,codepoint,unicode_name,unicode_category,count,is_sinhala_block,is_whitespace,font_has_codepoint
V,U+0056,LATIN CAPITAL LETTER V,Lu,1185,False,False,False
x,U+0078,LATIN SMALL LETTER X,Ll,1132,False,False,False
U,U+0055,LATIN CAPITAL LETTER U,Lu,987,False,False,False
W,U+0057,LATIN CAPITAL LETTER W,Lu,949,False,False,False
»,U+00BB,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,Pf,689,False,False,False
X,U+0058,LATIN CAPITAL LETTER X,Lu,616,False,False,False
z,U+007A,LATIN SMALL LETTER Z,Ll,605,False,False,False
K,U+004B,LATIN CAPITAL LETTER K,Lu,572,False,False,False
•,U+2022,BULLET,Po,537,False,False,False
�,U+FFFD,REPLACEMENT CHARACTER,So,529,False,False,False
J,U+004A,LATIN CAPITAL LETTER J,Lu,465,False,False,False
Y,U+0059,LATIN CAPITAL LETTER Y,Lu,337,False,False,False
j,U+006A,LATIN SMALL LETTER J,Ll,313,False,False,False
`,U+0060,GRAVE ACCENT,Sk,304,False,False,False
·,U+00B7,MIDDLE DOT,Po,257,False,False,False
@,U+0040,COMMERCIAL AT,Po,240,False,False,False
«,U+00AB,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,Pi,192,False,False,False
Q,U+0051,LATIN CAPITAL LETTER Q,Lu,191,False,False,False
Z,U+005A,LATIN CAPITAL LETTER Z,Lu,187,False,False,False
&,U+0026,AMPERSAND,Po,166,False,False,False
q,U+0071,LATIN SMALL LETTER Q,Ll,160,False,False,False
$,U+0024,DOLLAR SIGN,Sc,153,False,False,False
→,U+2192,RIGHTWARDS ARROW,Sm,115,False,False,False
😀,U+1F600,GRINNING FACE,So,89,False,False,False
⁣,U+2063,INVISIBLE SEPARATOR,Cf,84,False,False,False
■,U+25A0,BLACK SQUARE,So,75,False,False,False
🙂,U+1F642,SLIGHTLY SMILING FACE,So,66,False,False,False
£,U+00A3,POUND SIGN,Sc,65,False,False,False
●,U+25CF,BLACK CIRCLE,So,61,False,False,False
←,U+2190,LEFTWARDS ARROW,Sm,61,False,False,False
,U+F03C,UNNAMED,Co,55,False,False,False
↑,U+2191,UPWARDS ARROW,Sm,52,False,False,False
°,U+00B0,DEGREE SIGN,So,41,False,False,False
,U+E65F,UNNAMED,Co,41,False,False,False
¥,U+00A5,YEN SIGN,Sc,37,False,False,False
®,U+00AE,REGISTERED SIGN,So,35,False,False,False
♦,U+2666,BLACK DIAMOND SUIT,So,35,False,False,False
˜,U+02DC,SMALL TILDE,Sk,29,False,False,False
µ,U+00B5,MICRO SIGN,Ll,27,False,False,False
,U+F554,UNNAMED,Co,27,False,False,False
ա,U+0561,ARMENIAN SMALL LETTER AYB,Ll,26,False,False,False
″,U+2033,DOUBLE PRIME,Po,25,False,False,False
😂,U+1F602,FACE WITH TEARS OF JOY,So,25,False,False,False
️,U+FE0F,VARIATION SELECTOR-16,Mn,23,False,False,False
º,U+00BA,MASCULINE ORDINAL INDICATOR,Lo,22,False,False,False
é,U+00E9,LATIN SMALL LETTER E WITH ACUTE,Ll,22,False,False,False
ն,U+0576,ARMENIAN SMALL LETTER NOW,Ll,22,False,False,False
€,U+20AC,EURO SIGN,Sc,21,False,False,False
¹,U+00B9,SUPERSCRIPT ONE,No,19,False,False,False
©,U+00A9,COPYRIGHT SIGN,So,18,False,False,False
ı,U+0131,LATIN SMALL LETTER DOTLESS I,Ll,18,False,False,False
˚,U+02DA,RING ABOVE,Sk,18,False,False,False
🐍,U+1F40D,SNAKE,So,18,False,False,False
ո,U+0578,ARMENIAN SMALL LETTER VO,Ll,18,False,False,False
ր,U+0580,ARMENIAN SMALL LETTER REH,Ll,17,False,False,False
,U+0081,UNNAMED,Cc,15,False,False,False
¼,U+00BC,VULGAR FRACTION ONE QUARTER,No,15,False,False,False
,U+F0AC,UNNAMED,Co,15,False,False,False
,U+F06C,UNNAMED,Co,14,False,False,False
ի,U+056B,ARMENIAN SMALL LETTER INI,Ll,14,False,False,False
ւ,U+0582,ARMENIAN SMALL LETTER YIWN,Ll,14,False,False,False
İ,U+0130,LATIN CAPITAL LETTER I WITH DOT ABOVE,Lu,13,False,False,False
⋆,U+22C6,STAR OPERATOR,Sm,13,False,False,False
🙏,U+1F64F,PERSON WITH FOLDED HANDS,So,13,False,False,False
😉,U+1F609,WINKING FACE,So,13,False,False,False
ե,U+0565,ARMENIAN SMALL LETTER ECH,Ll,13,False,False,False
™,U+2122,TRADE MARK SIGN,So,12,False,False,False
😛,U+1F61B,FACE WITH STUCK-OUT TONGUE,So,12,False,False,False
전,U+C804,HANGUL SYLLABLE JEON,Lo,12,False,False,False
🌿,U+1F33F,HERB,So,12,False,False,False
💥,U+1F4A5,COLLISION SYMBOL,So,12,False,False,False
˝,U+02DD,DOUBLE ACUTE ACCENT,Sk,11,False,False,False
😁,U+1F601,GRINNING FACE WITH SMILING EYES,So,11,False,False,False
,U+F075,UNNAMED,Co,11,False,False,False
½,U+00BD,VULGAR FRACTION ONE HALF,No,10,False,False,False
😦,U+1F626,FROWNING FACE WITH OPEN MOUTH,So,10,False,False,False
¾,U+00BE,VULGAR FRACTION THREE QUARTERS,No,9,False,False,False
¶,U+00B6,PILCROW SIGN,Po,9,False,False,False
ʽ,U+02BD,MODIFIER LETTER REVERSED COMMA,Lm,9,False,False,False
💨,U+1F4A8,DASH SYMBOL,So,9,False,False,False
ş,U+015F,LATIN SMALL LETTER S WITH CEDILLA,Ll,8,False,False,False
👇,U+1F447,WHITE DOWN POINTING BACKHAND INDEX,So,8,False,False,False
±,U+00B1,PLUS-MINUS SIGN,Sm,8,False,False,False
ö,U+00F6,LATIN SMALL LETTER O WITH DIAERESIS,Ll,8,False,False,False
ü,U+00FC,LATIN SMALL LETTER U WITH DIAERESIS,Ll,8,False,False,False
❤,U+2764,HEAVY BLACK HEART,So,8,False,False,False
Ø,U+00D8,LATIN CAPITAL LETTER O WITH STROKE,Lu,8,False,False,False
㎡,U+33A1,SQUARE M SQUARED,So,8,False,False,False
ﷺ,U+FDFA,ARABIC LIGATURE SALLALLAHOU ALAYHE WASALLAM,Lo,8,False,False,False
▢,U+25A2,WHITE SQUARE WITH ROUNDED CORNERS,So,7,False,False,False
Ó,U+00D3,LATIN CAPITAL LETTER O WITH ACUTE,Lu,7,False,False,False
§,U+00A7,SECTION SIGN,Po,7,False,False,False
á,U+00E1,LATIN SMALL LETTER A WITH ACUTE,Ll,7,False,False,False
상,U+C0C1,HANGUL SYLLABLE SANG,Lo,7,False,False,False
주,U+C8FC,HANGUL SYLLABLE JU,Lo,7,False,False,False
न,U+0928,DEVANAGARI LETTER NA,Lo,7,False,False,False
յ,U+0575,ARMENIAN SMALL LETTER YI,Ll,7,False,False,False
տ,U+057F,ARMENIAN SMALL LETTER TIWN,Ll,7,False,False,False
կ,U+056F,ARMENIAN SMALL LETTER KEN,Ll,7,False,False,False
ծ,U+056E,ARMENIAN SMALL LETTER CA,Ll,7,False,False,False
մ,U+0574,ARMENIAN SMALL LETTER MEN,Ll,7,False,False,False
💧,U+1F4A7,DROPLET,So,7,False,False,False
்,U+0BCD,TAMIL SIGN VIRAMA,Mn,6,False,False,False
🙁,U+1F641,SLIGHTLY FROWNING FACE,So,6,False,False,False
😥,U+1F625,DISAPPOINTED BUT RELIEVED FACE,So,6,False,False,False
ª,U+00AA,FEMININE ORDINAL INDICATOR,Lo,6,False,False,False
श,U+0936,DEVANAGARI LETTER SHA,Lo,6,False,False,False
ि,U+093F,DEVANAGARI VOWEL SIGN I,Mc,6,False,False,False
♥,U+2665,BLACK HEART SUIT,So,6,False,False,False
😊,U+1F60A,SMILING FACE WITH SMILING EYES,So,6,False,False,False
📲,U+1F4F2,MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT,So,6,False,False,False
¿,U+00BF,INVERTED QUESTION MARK,Po,6,False,False,False
դ,U+0564,ARMENIAN SMALL LETTER DA,Ll,6,False,False,False
է,U+0567,ARMENIAN SMALL LETTER EH,Ll,6,False,False,False
ρ,U+03C1,GREEK SMALL LETTER RHO,Ll,6,False,False,False
🍃,U+1F343,LEAF FLUTTERING IN WIND,So,6,False,False,False
α,U+03B1,GREEK SMALL LETTER ALPHA,Ll,5,False,False,False
ன,U+0BA9,TAMIL LETTER NNNA,Lo,5,False,False,False
ç,U+00E7,LATIN SMALL LETTER C WITH CEDILLA,Ll,5,False,False,False
Ñ,U+00D1,LATIN CAPITAL LETTER N WITH TILDE,Lu,5,False,False,False
∗,U+2217,ASTERISK OPERATOR,Sm,5,False,False,False
◾,U+25FE,BLACK MEDIUM SMALL SQUARE,Sm,5,False,False,False
🔺,U+1F53A,UP-POINTING RED TRIANGLE,So,5,False,False,False
ը,U+0568,ARMENIAN SMALL LETTER ET,Ll,5,False,False,False
գ,U+0563,ARMENIAN SMALL LETTER GIM,Ll,5,False,False,False
🌱,U+1F331,SEEDLING,So,5,False,False,False
―,U+2015,HORIZONTAL BAR,Pd,4,False,False,False
,U+F09F,UNNAMED,Co,4,False,False,False
☐,U+2610,BALLOT BOX,So,4,False,False,False
த,U+0BA4,TAMIL LETTER TA,Lo,4,False,False,False
▼,U+25BC,BLACK DOWN-POINTING TRIANGLE,So,4,False,False,False
Ş,U+015E,LATIN CAPITAL LETTER S WITH CEDILLA,Lu,4,False,False,False
⇒,U+21D2,RIGHTWARDS DOUBLE ARROW,Sm,4,False,False,False
😘,U+1F618,FACE THROWING A KISS,So,4,False,False,False
😭,U+1F62D,LOUDLY CRYING FACE,So,4,False,False,False
Ü,U+00DC,LATIN CAPITAL LETTER U WITH DIAERESIS,Lu,4,False,False,False
ệ,U+1EC7,LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW,Ll,4,False,False,False
🌻,U+1F33B,SUNFLOWER,So,4,False,False,False
μ,U+03BC,GREEK SMALL LETTER MU,Ll,4,False,False,False
²,U+00B2,SUPERSCRIPT TWO,No,4,False,False,False
¢,U+00A2,CENT SIGN,Sc,4,False,False,False
ó,U+00F3,LATIN SMALL LETTER O WITH ACUTE,Ll,4,False,False,False
վ,U+057E,ARMENIAN SMALL LETTER VEW,Ll,4,False,False,False
բ,U+0562,ARMENIAN SMALL LETTER BEN,Ll,4,False,False,False
ս,U+057D,ARMENIAN SMALL LETTER SEH,Ll,4,False,False,False
ğ,U+011F,LATIN SMALL LETTER G WITH BREVE,Ll,4,False,False,False
,U+E200,UNNAMED,Co,4,False,False,False
ã,U+00E3,LATIN SMALL LETTER A WITH TILDE,Ll,4,False,False,False
‹,U+2039,SINGLE LEFT-POINTING ANGLE QUOTATION MARK,Pi,3,False,False,False
Æ,U+00C6,LATIN CAPITAL LETTER AE,Lu,3,False,False,False
ï,U+00EF,LATIN SMALL LETTER I WITH DIAERESIS,Ll,3,False,False,False
ு,U+0BC1,TAMIL VOWEL SIGN U,Mc,3,False,False,False
≥,U+2265,GREATER-THAN OR EQUAL TO,Sm,3,False,False,False
😐,U+1F610,NEUTRAL FACE,So,3,False,False,False
😍,U+1F60D,SMILING FACE WITH HEART-SHAPED EYES,So,3,False,False,False
★,U+2605,BLACK STAR,So,3,False,False,False
ā,U+0101,LATIN SMALL LETTER A WITH MACRON,Ll,3,False,False,False
☻,U+263B,BLACK SMILING FACE,So,3,False,False,False
ñ,U+00F1,LATIN SMALL LETTER N WITH TILDE,Ll,3,False,False,False
É,U+00C9,LATIN CAPITAL LETTER E WITH ACUTE,Lu,3,False,False,False
Ö,U+00D6,LATIN CAPITAL LETTER O WITH DIAERESIS,Lu,3,False,False,False
¡,U+00A1,INVERTED EXCLAMATION MARK,Po,3,False,False,False
⁄,U+2044,FRACTION SLASH,Sm,3,False,False,False
Ê,U+00CA,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,Lu,3,False,False,False
ú,U+00FA,LATIN SMALL LETTER U WITH ACUTE,Ll,3,False,False,False
ð,U+00F0,LATIN SMALL LETTER ETH,Ll,3,False,False,False
‎,U+200E,LEFT-TO-RIGHT MARK,Cf,3,False,False,False
ä,U+00E4,LATIN SMALL LETTER A WITH DIAERESIS,Ll,3,False,False,False
‐,U+2010,HYPHEN,Pd,3,False,False,False
,U+F0D8,UNNAMED,Co,3,False,False,False
✅,U+2705,WHITE HEAVY CHECK MARK,So,3,False,False,False
🐞,U+1F41E,LADY BEETLE,So,3,False,False,False
😓,U+1F613,FACE WITH COLD SWEAT,So,3,False,False,False
β,U+03B2,GREEK SMALL LETTER BETA,Ll,3,False,False,False
〉,U+3009,RIGHT ANGLE BRACKET,Pe,3,False,False,False
Խ,U+053D,ARMENIAN CAPITAL LETTER XEH,Lu,3,False,False,False
պ,U+057A,ARMENIAN SMALL LETTER PEH,Ll,3,False,False,False
թ,U+0569,ARMENIAN SMALL LETTER TO,Ll,3,False,False,False
Դ,U+0534,ARMENIAN CAPITAL LETTER DA,Lu,3,False,False,False
ց,U+0581,ARMENIAN SMALL LETTER CO,Ll,3,False,False,False
🔥,U+1F525,FIRE,So,3,False,False,False
,U+F60E,UNNAMED,Co,3,False,False,False
👍,U+1F44D,THUMBS UP SIGN,So,3,False,False,False
,U+E01E,UNNAMED,Co,3,False,False,False
ா,U+0BBE,TAMIL VOWEL SIGN AA,Mc,2,False,False,False
Õ,U+00D5,LATIN CAPITAL LETTER O WITH TILDE,Lu,2,False,False,False
ε,U+03B5,GREEK SMALL LETTER EPSILON,Ll,2,False,False,False
😒,U+1F612,UNAMUSED FACE,So,2,False,False,False
Œ,U+0152,LATIN CAPITAL LIGATURE OE,Lu,2,False,False,False
①,U+2460,CIRCLED DIGIT ONE,No,2,False,False,False
🤔,U+1F914,THINKING FACE,So,2,False,False,False
ầ,U+1EA7,LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE,Ll,2,False,False,False
☺,U+263A,WHITE SMILING FACE,So,2,False,False,False
大,U+5927,CJK UNIFIED IDEOGRAPH-5927,Lo,2,False,False,False
殿,U+6BBF,CJK UNIFIED IDEOGRAPH-6BBF,Lo,2,False,False,False
內,U+5167,CJK UNIFIED IDEOGRAPH-5167,Lo,2,False,False,False
間,U+9593,CJK UNIFIED IDEOGRAPH-9593,Lo,2,False,False,False
식,U+C2DD,HANGUL SYLLABLE SIG,Lo,2,False,False,False
정,U+C815,HANGUL SYLLABLE JEONG,Lo,2,False,False,False
제,U+C81C,HANGUL SYLLABLE JE,Lo,2,False,False,False
궁,U+AD81,HANGUL SYLLABLE GUNG,Lo,2,False,False,False
변,U+BCC0,HANGUL SYLLABLE BYEON,Lo,2,False,False,False
치,U+CE58,HANGUL SYLLABLE CI,Lo,2,False,False,False
ł,U+0142,LATIN SMALL LETTER L WITH STROKE,Ll,2,False,False,False
æ,U+00E6,LATIN SMALL LETTER AE,Ll,2,False,False,False
¸,U+00B8,CEDILLA,Sk,2,False,False,False
🔻,U+1F53B,DOWN-POINTING RED TRIANGLE,So,2,False,False,False
´,U+00B4,ACUTE ACCENT,Sk,2,False,False,False
È,U+00C8,LATIN CAPITAL LETTER E WITH GRAVE,Lu,2,False,False,False
○,U+25CB,WHITE CIRCLE,So,2,False,False,False
Ż,U+017B,LATIN CAPITAL LETTER Z WITH DOT ABOVE,Lu,2,False,False,False
⋅,U+22C5,DOT OPERATOR,Sm,2,False,False,False
😜,U+1F61C,FACE WITH STUCK-OUT TONGUE AND WINKING EYE,So,2,False,False,False
🌎,U+1F30E,EARTH GLOBE AMERICAS,So,2,False,False,False
հ,U+0570,ARMENIAN SMALL LETTER HO,Ll,2,False,False,False
լ,U+056C,ARMENIAN SMALL LETTER LIWN,Ll,2,False,False,False
С,U+0421,CYRILLIC CAPITAL LETTER ES,Lu,2,False,False,False
ा,U+093E,DEVANAGARI VOWEL SIGN AA,Mc,2,False,False,False
ا,U+0627,ARABIC LETTER ALEF,Lo,2,False,False,False
ل,U+0644,ARABIC LETTER LAM,Lo,2,False,False,False
ع,U+0639,ARABIC LETTER AIN,Lo,2,False,False,False
ي,U+064A,ARABIC LETTER YEH,Lo,2,False,False,False
ة,U+0629,ARABIC LETTER TEH MARBUTA,Lo,2,False,False,False
σ,U+03C3,GREEK SMALL LETTER SIGMA,Ll,2,False,False,False
🌼,U+1F33C,BLOSSOM,So,2,False,False,False
②,U+2461,CIRCLED DIGIT TWO,No,2,False,False,False
③,U+2462,CIRCLED DIGIT THREE,No,2,False,False,False
😃,U+1F603,SMILING FACE WITH OPEN MOUTH,So,2,False,False,False
,U+E002,UNNAMED,Co,2,False,False,False
í,U+00ED,LATIN SMALL LETTER I WITH ACUTE,Ll,2,False,False,False
‪,U+202A,LEFT-TO-RIGHT EMBEDDING,Cf,2,False,False,False
‬,U+202C,POP DIRECTIONAL FORMATTING,Cf,2,False,False,False
☕,U+2615,HOT BEVERAGE,So,2,False,False,False
☘,U+2618,SHAMROCK,So,2,False,False,False
💐,U+1F490,BOUQUET,So,2,False,False,False
👉,U+1F449,WHITE RIGHT POINTING BACKHAND INDEX,So,2,False,False,False
,U+F0FC,UNNAMED,Co,2,False,False,False
Ò,U+00D2,LATIN CAPITAL LETTER O WITH GRAVE,Lu,1,False,False,False
ຩ,U+0EA9,LAO LETTER SANSKRIT SSA,Lo,1,False,False,False
໵,U+0EF5,UNNAMED,Cn,1,False,False,False
໶,U+0EF6,UNNAMED,Cn,1,False,False,False
இ,U+0B87,TAMIL LETTER I,Lo,1,False,False,False
ி,U+0BBF,TAMIL VOWEL SIGN I,Mc,1,False,False,False
ய,U+0BAF,TAMIL LETTER YA,Lo,1,False,False,False
ப,U+0BAA,TAMIL LETTER PA,Lo,1,False,False,False
ண,U+0BA3,TAMIL LETTER NNA,Lo,1,False,False,False
ட,U+0B9F,TAMIL LETTER TTA,Lo,1,False,False,False
வ,U+0BB5,TAMIL LETTER VA,Lo,1,False,False,False
ழ,U+0BB4,TAMIL LETTER LLLA,Lo,1,False,False,False
க,U+0B95,TAMIL LETTER KA,Lo,1,False,False,False
ள,U+0BB3,TAMIL LETTER LLA,Lo,1,False,False,False
′,U+2032,PRIME,Po,1,False,False,False
θ,U+03B8,GREEK SMALL LETTER THETA,Ll,1,False,False,False
ß,U+00DF,LATIN SMALL LETTER SHARP S,Ll,1,False,False,False
≤,U+2264,LESS-THAN OR EQUAL TO,Sm,1,False,False,False
😇,U+1F607,SMILING FACE WITH HALO,So,1,False,False,False
😏,U+1F60F,SMIRKING FACE,So,1,False,False,False
😞,U+1F61E,DISAPPOINTED FACE,So,1,False,False,False
😟,U+1F61F,WORRIED FACE,So,1,False,False,False
ˈ,U+02C8,MODIFIER LETTER VERTICAL LINE,Lm,1,False,False,False
ɪ,U+026A,LATIN LETTER SMALL CAPITAL I,Ll,1,False,False,False
ː,U+02D0,MODIFIER LETTER TRIANGULAR COLON,Lm,1,False,False,False
õ,U+00F5,LATIN SMALL LETTER O WITH TILDE,Ll,1,False,False,False
✦,U+2726,BLACK FOUR POINTED STAR,So,1,False,False,False
🥺,U+1F97A,FACE WITH PLEADING EYES,So,1,False,False,False
Š,U+0160,LATIN CAPITAL LETTER S WITH CARON,Lu,1,False,False,False
孔,U+5B54,CJK UNIFIED IDEOGRAPH-5B54,Lo,1,False,False,False
姣,U+59E3,CJK UNIFIED IDEOGRAPH-59E3,Lo,1,False,False,False
ụ,U+1EE5,LATIN SMALL LETTER U WITH DOT BELOW,Ll,1,False,False,False
ọ,U+1ECD,LATIN SMALL LETTER O WITH DOT BELOW,Ll,1,False,False,False
ế,U+1EBF,LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE,Ll,1,False,False,False
↔,U+2194,LEFT RIGHT ARROW,Sm,1,False,False,False
🤍,U+1F90D,WHITE HEART,So,1,False,False,False
,U+009D,UNNAMED,Cc,1,False,False,False
ˌ,U+02CC,MODIFIER LETTER LOW VERTICAL LINE,Lm,1,False,False,False
Ⅱ,U+2161,ROMAN NUMERAL TWO,Nl,1,False,False,False
趙,U+8D99,CJK UNIFIED IDEOGRAPH-8D99,Lo,1,False,False,False
浚,U+6D5A,CJK UNIFIED IDEOGRAPH-6D5A,Lo,1,False,False,False
洗,U+6D17,CJK UNIFIED IDEOGRAPH-6D17,Lo,1,False,False,False
手,U+624B,CJK UNIFIED IDEOGRAPH-624B,Lo,1,False,False,False
退,U+9000,CJK UNIFIED IDEOGRAPH-9000,Lo,1,False,False,False
膳,U+81B3,CJK UNIFIED IDEOGRAPH-81B3,Lo,1,False,False,False
僕,U+50D5,CJK UNIFIED IDEOGRAPH-50D5,Lo,1,False,False,False
伊,U+4F0A,CJK UNIFIED IDEOGRAPH-4F0A,Lo,1,False,False,False
處,U+8655,CJK UNIFIED IDEOGRAPH-8655,Lo,1,False,False,False
燈,U+71C8,CJK UNIFIED IDEOGRAPH-71C8,Lo,1,False,False,False
燭,U+71ED,CJK UNIFIED IDEOGRAPH-71ED,Lo,1,False,False,False
房,U+623F,CJK UNIFIED IDEOGRAPH-623F,Lo,1,False,False,False
복,U+BCF5,HANGUL SYLLABLE BOG,Lo,1,False,False,False
침,U+CE68,HANGUL SYLLABLE CIM,Lo,1,False,False,False
공,U+ACF5,HANGUL SYLLABLE GONG,Lo,1,False,False,False
기,U+AE30,HANGUL SYLLABLE GI,Lo,1,False,False,False
빈,U+BE48,HANGUL SYLLABLE BIN,Lo,1,False,False,False
의,U+C758,HANGUL SYLLABLE YI,Lo,1,False,False,False
선,U+C120,HANGUL SYLLABLE SEON,Lo,1,False,False,False
설,U+C124,HANGUL SYLLABLE SEOL,Lo,1,False,False,False
언,U+C5B8,HANGUL SYLLABLE EON,Lo,1,False,False,False
찬,U+CC2C,HANGUL SYLLABLE CAN,Lo,1,False,False,False
약,U+C57D,HANGUL SYLLABLE YAG,Lo,1,False,False,False
등,U+B4F1,HANGUL SYLLABLE DEUNG,Lo,1,False,False,False
채,U+CC44,HANGUL SYLLABLE CAE,Lo,1,False,False,False
각,U+AC01,HANGUL SYLLABLE GAG,Lo,1,False,False,False
우,U+C6B0,HANGUL SYLLABLE U,Lo,1,False,False,False
雲,U+96F2,CJK UNIFIED IDEOGRAPH-96F2,Lo,1,False,False,False
英,U+82F1,CJK UNIFIED IDEOGRAPH-82F1,Lo,1,False,False,False
傳,U+50B3,CJK UNIFIED IDEOGRAPH-50B3,Lo,1,False,False,False
క,U+0C15,TELUGU LETTER KA,Lo,1,False,False,False
ౌ,U+0C4C,TELUGU VOWEL SIGN AU,Mn,1,False,False,False
。,U+3002,IDEOGRAPHIC FULL STOP,Po,1,False,False,False
◆,U+25C6,BLACK DIAMOND,So,1,False,False,False
🚗,U+1F697,AUTOMOBILE,So,1,False,False,False
😬,U+1F62C,GRIMACING FACE,So,1,False,False,False
粤,U+7CA4,CJK UNIFIED IDEOGRAPH-7CA4,Lo,1,False,False,False
备,U+5907,CJK UNIFIED IDEOGRAPH-5907,Lo,1,False,False,False
号,U+53F7,CJK UNIFIED IDEOGRAPH-53F7,Lo,1,False,False,False
Σ,U+03A3,GREEK CAPITAL LETTER SIGMA,Lu,1,False,False,False
υ,U+03C5,GREEK SMALL LETTER UPSILON,Ll,1,False,False,False
ώ,U+03CE,GREEK SMALL LETTER OMEGA WITH TONOS,Ll,1,False,False,False
ν,U+03BD,GREEK SMALL LETTER NU,Ll,1,False,False,False
🐦,U+1F426,BIRD,So,1,False,False,False
💟,U+1F49F,HEART DECORATION,So,1,False,False,False
백,U+BC31,HANGUL SYLLABLE BAEG,Lo,1,False,False,False
금,U+AE08,HANGUL SYLLABLE GEUM,Lo,1,False,False,False
동,U+B3D9,HANGUL SYLLABLE DONG,Lo,1,False,False,False
대,U+B300,HANGUL SYLLABLE DAE,Lo,1,False,False,False
향,U+D5A5,HANGUL SYLLABLE HYANG,Lo,1,False,False,False
로,U+B85C,HANGUL SYLLABLE RO,Lo,1,False,False,False
公,U+516C,CJK UNIFIED IDEOGRAPH-516C,Lo,1,False,False,False
夫,U+592B,CJK UNIFIED IDEOGRAPH-592B,Lo,1,False,False,False
↓,U+2193,DOWNWARDS ARROW,Sm,1,False,False,False
Ÿ,U+0178,LATIN CAPITAL LETTER Y WITH DIAERESIS,Lu,1,False,False,False
а,U+0430,CYRILLIC SMALL LETTER A,Ll,1,False,False,False
ω,U+03C9,GREEK SMALL LETTER OMEGA,Ll,1,False,False,False
💪,U+1F4AA,FLEXED BICEPS,So,1,False,False,False
🥂,U+1F942,CLINKING GLASSES,So,1,False,False,False
🔴,U+1F534,LARGE RED CIRCLE,So,1,False,False,False
П,U+041F,CYRILLIC CAPITAL LETTER PE,Lu,1,False,False,False
е,U+0435,CYRILLIC SMALL LETTER IE,Ll,1,False,False,False
р,U+0440,CYRILLIC SMALL LETTER ER,Ll,1,False,False,False
м,U+043C,CYRILLIC SMALL LETTER EM,Ll,1,False,False,False
ь,U+044C,CYRILLIC SMALL LETTER SOFT SIGN,Ll,1,False,False,False
😖,U+1F616,CONFOUNDED FACE,So,1,False,False,False
►,U+25BA,BLACK RIGHT-POINTING POINTER,So,1,False,False,False
