grapheme_count,row_number,word_count,text_preview,src
4954,224483,1036,Air Pollution (1) China (2) Covid19 (1) Epidemiology (1) Health Economics (1) Italy (1) Music (1) Robotics (1) Statistics (1) Technology (1) z-ස්කෝර් (1) අජිත් ධර්මා (1) අජිත් නිවාඩ් කබ්රාල් (8) අජිත් පැරකුම් (2) අඥේයවාදය (2) අතීත මතක (53) අධ්‍යාපනය (53) අනාගතය (2) අනාවැකි (25) අනුර කුමාර දිසානායක (,CulturaX
4935,7177778,1032,Air Pollution (1) China (2) Covid19 (1) Epidemiology (1) Health Economics (1) Italy (1) Music (1) Robotics (1) Statistics (1) Technology (1) z-ස්කෝර් (1) අජිත් ධර්මා (1) අජිත් නිවාඩ් කබ්රාල් (8) අජිත් පැරකුම් (2) අඥේයවාදය (2) අතීත මතක (53) අධ්‍යාපනය (53) අනාගතය (2) අනාවැකි (25) අනුර කුමාර දිසානායක (,CulturaX
4632,2125081,617,"ඇට්ලන්ටා, ස්මර්ණය, Marietta, Mableton, Clarkdale, Austell, Decatur, ලිතියා ස්ප්රින්ග්ස්, කුඩු ස්ප්රින්ග්ස්, Roswell, Kennesaw, Scottdale, Avondale වතු, Clarkston, ටකර්, Norcross, පයින් ලේක්, Woodstock, ගල් කඳු, Alpharetta, Douglasville, හීරාම්, Acworth, Conley, වන සංරක්ෂණ පාර්ක්, Lilburn, රතු ඕක්, D",CulturaX
4574,3034262,956,Air Pollution (1) China (2) Covid19 (1) Epidemiology (1) Health Economics (1) Italy (1) Music (1) Robotics (1) Statistics (1) Technology (1) z-ස්කෝර් (1) අජිත් ධර්මා (1) අජිත් නිවාඩ් කබ්රාල් (8) අජිත් පැරකුම් (2) අඥේයවාදය (2) අතීත මතක (53) අධ්‍යාපනය (53) අනාගතය (2) අනාවැකි (25) අනුර කුමාර දිසානායක (,CulturaX
4489,8051112,938,Air Pollution (1) China (2) Covid19 (1) Epidemiology (1) Health Economics (1) Italy (1) Music (1) Robotics (1) Statistics (1) Technology (1) z-ස්කෝර් (1) අජිත් ධර්මා (1) අජිත් නිවාඩ් කබ්රාල් (7) අජිත් පැරකුම් (2) අඥේයවාදය (2) අතීත මතක (53) අධ්‍යාපනය (53) අනාගතය (2) අනාවැකි (25) අනුර කුමාර දිසානායක (,CulturaX
4434,8870507,926,Air Pollution (1) China (2) Covid19 (1) Epidemiology (1) Health Economics (1) Italy (1) Music (1) Robotics (1) Statistics (1) Technology (1) z-ස්කෝර් (1) අජිත් ධර්මා (1) අජිත් නිවාඩ් කබ්රාල් (7) අජිත් පැරකුම් (2) අඥේයවාදය (2) අතීත මතක (53) අධ්‍යාපනය (53) අනාගතය (2) අනාවැකි (25) අනුර කුමාර දිසානායක (,CulturaX
4264,6776337,891,Air Pollution (1) China (2) Covid19 (1) Epidemiology (1) Health Economics (1) Italy (1) Music (1) Robotics (1) Statistics (1) Technology (1) z-ස්කෝර් (1) අජිත් ධර්මා (1) අජිත් නිවාඩ් කබ්රාල් (4) අජිත් පැරකුම් (2) අඥේයවාදය (2) අතීත මතක (53) අධ්‍යාපනය (49) අනාගතය (2) අනාවැකි (25) අනුර කුමාර දිසානායක (,CulturaX
4264,3908968,891,Air Pollution (1) China (2) Covid19 (1) Epidemiology (1) Health Economics (1) Italy (1) Music (1) Robotics (1) Statistics (1) Technology (1) z-ස්කෝර් (1) අජිත් ධර්මා (1) අජිත් නිවාඩ් කබ්රාල් (4) අජිත් පැරකුම් (2) අඥේයවාදය (2) අතීත මතක (53) අධ්‍යාපනය (49) අනාගතය (2) අනාවැකි (25) අනුර කුමාර දිසානායක (,CulturaX
4253,1532240,888,Air Pollution (1) China (2) Covid19 (1) Epidemiology (1) Health Economics (1) Italy (1) Music (1) Robotics (1) Statistics (1) Technology (1) z-ස්කෝර් (1) අජිත් ධර්මා (1) අජිත් නිවාඩ් කබ්රාල් (4) අජිත් පැරකුම් (2) අඥේයවාදය (2) අතීත මතක (53) අධ්‍යාපනය (48) අනාගතය (2) අනාවැකි (25) අනුර කුමාර දිසානායක (,CulturaX
4221,6883774,888,දැන් ගොඩාක් දේවල් මෙතන කතා වෙලානේ..හැමදාම වගේ චමිරගේ මානසික විකෘතිමත් වු සිතේ ඇතිවන විකාර අදහස් ස්ටටස් ලෙස එළිදැක්වුනහම අපි උත්සාහ කරනවා මේ මනුස්සයගේ මතය වැරදියි කියලා පෙන්වන්න..මුලදි නම් මාත් උත්සාහ කලා චමිර කියන පුද්ගලයාට ඔහු හිතන විදිහේ වැරැද්ද පෙන්වලා දිලා හොද අතට ගන්න..ඒත් ඒක මෙහෙම තියා මම චමිර,CulturaX
